gsis,season,pg,base,out,age,reunion,player_move,coach_move,moved,base_av,out_av
00-0022803,2017,QB,0.5918367346938775,0.5412371134020618,36,0,0,0,0,0.9794520547945206,0.8933333333333333
00-0022803,2018,QB,0.5412371134020618,0.6875,37,0,0,0,0,0.8933333333333333,0.7702702702702703
00-0022803,2019,QB,0.6875,0.2074468085106383,38,0,0,0,0,0.7702702702702703,0.6712328767123288
00-0022805,2015,DL,0.5759753593429158,0.35408163265306125,32,0,0,0,1,,
00-0022811,2015,WR,0.6325301204819277,0.6553846153846153,33,0,0,0,0,0.755868544600939,0.35909090909090907
00-0022839,2015,LB,0.9455958549222798,0.7415584415584415,33,0,0,0,0,,
00-0022839,2016,LB,0.7415584415584415,0.3978102189781022,34,0,0,0,1,,
00-0022900,2015,DB,0.31125226860254085,0.9962962962962963,33,0,0,0,0,,
00-0022921,2015,WR,0.713855421686747,0.9692307692307692,32,0,0,0,0,0.9389671361502347,0.9636363636363636
00-0022921,2016,WR,0.9692307692307692,0.9285714285714286,33,0,0,0,0,0.9636363636363636,0.954337899543379
00-0022921,2017,WR,0.9285714285714286,0.9718934911242604,34,0,0,0,0,0.954337899543379,0.9910714285714286
00-0022921,2018,WR,0.9718934911242604,0.8448795180722891,35,0,0,0,0,0.9910714285714286,0.9752066115702479
00-0022921,2019,WR,0.8448795180722891,0.7943786982248521,36,0,0,0,0,0.9752066115702479,0.8801652892561983
00-0022921,2020,WR,0.7943786982248521,0.5672268907563025,37,0,0,0,0,0.8801652892561983,0.87109375
00-0022924,2015,QB,0.9223300970873787,0.6699029126213593,33,0,0,0,0,0.881578947368421,0.6666666666666666
00-0022924,2016,QB,0.6699029126213593,0.8571428571428571,34,0,0,0,0,0.6666666666666666,0.8356164383561644
00-0022924,2017,QB,0.8571428571428571,0.9175257731958762,35,0,0,0,0,0.8356164383561644,0.8666666666666667
00-0022924,2018,QB,0.9175257731958762,0.9278846153846154,36,0,0,0,0,0.8666666666666667,0.6621621621621622
00-0022924,2021,QB,0.808695652173913,0.711864406779661,39,0,0,0,0,0.8571428571428571,0.9176470588235294
00-0022927,2015,LB,0.6981865284974094,0.8844155844155844,34,0,0,0,0,,
00-0022927,2016,LB,0.8844155844155844,0.7287104622871047,35,0,0,0,1,,
00-0022927,2017,LB,0.7287104622871047,0.7920918367346939,36,1,1,0,1,,
00-0022942,2015,QB,0.7621359223300971,0.7718446601941747,34,0,0,0,0,0.8421052631578947,0.84
00-0022942,2016,QB,0.7718446601941747,0.7091836734693877,35,1,0,1,0,0.84,0.9178082191780822
00-0022942,2017,QB,0.7091836734693877,0.8195876288659794,36,0,0,0,0,0.9178082191780822,0.7466666666666667
00-0022942,2018,QB,0.8195876288659794,0.8653846153846154,37,0,0,0,0,0.7466666666666667,0.7027027027027027
00-0022942,2019,QB,0.8653846153846154,0.6223404255319149,38,0,0,0,0,0.7027027027027027,0.6575342465753424
00-0022942,2020,QB,0.6223404255319149,0.7391304347826086,39,1,1,0,1,0.6575342465753424,0.75
00-0022943,2015,TE,0.44476744186046513,0.914364640883978,35,0,0,0,0,0.4453125,0.936
00-0022943,2018,TE,0.8790322580645161,0.7777777777777778,38,1,1,0,1,0.7121212121212122,0.45112781954887216
00-0022943,2019,TE,0.7777777777777778,0.48148148148148145,39,0,0,0,1,0.45112781954887216,0.753731343283582
00-0022999,2015,RB,0.24427480916030533,0.3192982456140351,33,0,0,0,0,,
00-0022999,2016,RB,0.3192982456140351,0.4334677419354839,34,0,0,0,1,,
00-0023013,2015,DB,0.3720508166969147,0.47685185185185186,31,0,0,0,1,,
00-0023259,2017,LB,0.9939172749391727,0.8469387755102041,34,0,0,0,0,,
00-0023259,2018,LB,0.8469387755102041,0.9727272727272728,35,0,0,0,0,,
00-0023259,2019,LB,0.9727272727272728,0.7029177718832891,36,0,0,0,0,,
00-0023310,2015,WR,0.3569277108433735,0.4876923076923077,32,0,0,0,1,,
00-0023367,2015,WR,0.6009036144578314,0.7046153846153846,32,0,0,0,1,,
00-0023368,2015,DL,0.939119170984456,0.7727272727272727,33,0,0,0,0,,
00-0023368,2016,DL,0.7727272727272727,0.9708029197080292,34,0,0,0,0,,
00-0023368,2017,DL,0.9708029197080292,0.8941326530612245,35,0,0,0,0,,
00-0023368,2018,DL,0.8941326530612245,0.7363636363636363,36,0,0,0,0,,
00-0023368,2019,LB,0.7363636363636363,0.37002652519893897,37,0,0,0,1,,
00-0023436,2015,QB,0.6456310679611651,0.8640776699029126,31,0,0,0,0,0.9078947368421053,0.8266666666666667
00-0023436,2016,QB,0.8640776699029126,0.5816326530612245,32,0,0,0,0,0.8266666666666667,0.6712328767123288
00-0023436,2017,QB,0.5816326530612245,0.9587628865979382,33,1,0,1,0,0.6712328767123288,0.9733333333333334
00-0023436,2018,QB,0.9587628865979382,0.4182692307692308,34,0,0,0,1,0.9733333333333334,0.6351351351351351
00-0023441,2015,DB,0.6061705989110708,0.8518518518518519,32,0,0,0,0,0.5104166666666666,0.7940414507772021
00-0023441,2016,DB,0.8518518518518519,0.6163003663003663,33,0,0,0,0,0.7940414507772021,0.9204275534441805
00-0023441,2017,DB,0.6163003663003663,0.20315398886827457,34,0,0,0,0,0.9204275534441805,0.164021164021164
00-0023441,2018,DB,0.20315398886827457,0.24864376130198915,35,1,1,0,1,0.164021164021164,0.0967741935483871
00-0023443,2015,DB,0.8430127041742287,0.16574074074074074,33,0,0,0,1,,
00-0023445,2015,LB,0.9533678756476683,0.9376623376623376,33,0,0,0,0,,
00-0023445,2016,LB,0.9376623376623376,0.4416058394160584,34,0,0,0,0,,
00-0023448,2015,LB,0.8497409326424871,0.9974025974025974,32,0,0,0,0,0.9326599326599326,0.886986301369863
00-0023448,2016,LB,0.9974025974025974,0.864963503649635,33,0,0,0,0,0.886986301369863,0.9186440677966101
